
Epoch:3600/10000  train loss:7.4803e-01  val loss:1.6363e+00  best epoch:1042  min loss:4.2524e-02  lr:6.541075875e-02  time:16.33s  time total:9.94min  time remain:17.68min
Epoch:3700/10000  train loss:9.8236e+01  val loss:2.4309e+01  best epoch:1042  min loss:4.2524e-02  lr:7.934636065e-02  time:16.87s  time total:10.22min  time remain:17.41min
Epoch:3800/10000  train loss:3.8806e-01  val loss:3.4885e-01  best epoch:1042  min loss:4.2524e-02  lr:9.041423065e-02  time:16.27s  time total:10.50min  time remain:17.12min
Epoch:3900/10000  train loss:5.2130e+00  val loss:1.1619e+00  best epoch:1042  min loss:4.2524e-02  lr:9.753096852e-02  time:15.83s  time total:10.76min  time remain:16.83min
Epoch:4000/10000  train loss:1.2907e+00  val loss:1.3567e+00  best epoch:1042  min loss:4.2524e-02  lr:9.999993838e-02  time:16.25s  time total:11.03min  time remain:16.55min
Epoch:4100/10000  train loss:8.0177e-01  val loss:7.5608e-01  best epoch:1042  min loss:4.2524e-02  lr:9.757946024e-02  time:16.32s  time total:11.30min  time remain:16.26min
Epoch:4200/10000  train loss:5.3205e-01  val loss:1.1173e+00  best epoch:1042  min loss:4.2524e-02  lr:9.050646738e-02  time:17.09s  time total:11.59min  time remain:16.00min
Epoch:4300/10000  train loss:3.8402e+00  val loss:1.2392e+01  best epoch:1042  min loss:4.2524e-02  lr:7.947331361e-02  time:16.39s  time total:11.86min  time remain:15.72min
Epoch:4400/10000  train loss:4.6800e-01  val loss:5.0050e-01  best epoch:1042  min loss:4.2524e-02  lr:6.556000090e-02  time:16.46s  time total:12.13min  time remain:15.44min
Epoch:4500/10000  train loss:3.8022e+00  val loss:2.3872e+00  best epoch:1042  min loss:4.2524e-02  lr:5.012846124e-02  time:15.83s  time total:12.40min  time remain:15.15min
Epoch:4600/10000  train loss:4.1781e-01  val loss:4.3077e-01  best epoch:1042  min loss:4.2524e-02  lr:3.468924125e-02  time:16.21s  time total:12.67min  time remain:14.87min
Epoch:4700/10000  train loss:2.3793e-01  val loss:2.5803e-01  best epoch:1042  min loss:4.2524e-02  lr:2.075363935e-02  time:16.85s  time total:12.95min  time remain:14.60min
Epoch:4800/10000  train loss:1.3557e-01  val loss:1.1029e-01  best epoch:1042  min loss:4.2524e-02  lr:9.685769348e-03  time:16.30s  time total:13.22min  time remain:14.32min
Epoch:4900/10000  train loss:8.6765e-02  val loss:8.5150e-02  best epoch:1042  min loss:4.2524e-02  lr:2.569031476e-03  time:16.38s  time total:13.49min  time remain:14.05min
Epoch:5000/10000  train loss:7.8922e-02  val loss:7.6906e-02  best epoch:1042  min loss:4.2524e-02  lr:1.000616233e-04  time:16.35s  time total:13.77min  time remain:13.77min
Epoch:5100/10000  train loss:1.2836e-01  val loss:1.4853e-01  best epoch:1042  min loss:4.2524e-02  lr:2.520539760e-03  time:15.60s  time total:14.03min  time remain:13.48min
Epoch:5200/10000  train loss:1.8709e-01  val loss:1.8620e-01  best epoch:1042  min loss:4.2524e-02  lr:9.593532623e-03  time:16.61s  time total:14.30min  time remain:13.20min
Epoch:5300/10000  train loss:3.1490e-01  val loss:6.4975e-01  best epoch:1042  min loss:4.2524e-02  lr:2.062668639e-02  time:16.70s  time total:14.58min  time remain:12.93min
Epoch:5400/10000  train loss:1.4109e-01  val loss:1.3800e-01  best epoch:1042  min loss:4.2524e-02  lr:3.453999910e-02  time:16.29s  time total:14.85min  time remain:12.65min
Epoch:5500/10000  train loss:9.3327e-01  val loss:9.6128e-01  best epoch:1042  min loss:4.2524e-02  lr:4.997153876e-02  time:16.42s  time total:15.13min  time remain:12.38min
Epoch:5600/10000  train loss:1.3385e+00  val loss:4.5379e+00  best epoch:1042  min loss:4.2524e-02  lr:6.541075875e-02  time:16.36s  time total:15.40min  time remain:12.10min
Epoch:5700/10000  train loss:5.1048e-01  val loss:5.4102e-01  best epoch:1042  min loss:4.2524e-02  lr:7.934636065e-02  time:15.68s  time total:15.66min  time remain:11.81min
Epoch:5800/10000  train loss:1.2389e+00  val loss:2.6504e+00  best epoch:1042  min loss:4.2524e-02  lr:9.041423065e-02  time:16.91s  time total:15.94min  time remain:11.54min
