
Epoch:3600/10000  train loss:5.5627e-01  val loss:8.5952e-01  best epoch:988  min loss:4.2734e-02  lr:6.541075875e-02  time:16.28s  time total:9.89min  time remain:17.59min
Epoch:3700/10000  train loss:3.5956e+00  val loss:1.5471e+00  best epoch:988  min loss:4.2734e-02  lr:7.934636065e-02  time:16.57s  time total:10.17min  time remain:17.32min
Epoch:3800/10000  train loss:5.2249e-01  val loss:7.0478e-01  best epoch:988  min loss:4.2734e-02  lr:9.041423065e-02  time:16.65s  time total:10.45min  time remain:17.05min
Epoch:3900/10000  train loss:4.8927e-01  val loss:6.3572e-01  best epoch:988  min loss:4.2734e-02  lr:9.753096852e-02  time:16.43s  time total:10.72min  time remain:16.77min
Epoch:4000/10000  train loss:2.9536e-01  val loss:2.1717e+00  best epoch:988  min loss:4.2734e-02  lr:9.999993838e-02  time:16.33s  time total:10.99min  time remain:16.49min
Epoch:4100/10000  train loss:5.2190e+00  val loss:6.5662e+02  best epoch:988  min loss:4.2734e-02  lr:9.757946024e-02  time:15.63s  time total:11.25min  time remain:16.19min
Epoch:4200/10000  train loss:6.0629e+00  val loss:3.4779e+02  best epoch:988  min loss:4.2734e-02  lr:9.050646738e-02  time:16.29s  time total:11.53min  time remain:15.92min
Epoch:4300/10000  train loss:3.9318e+00  val loss:5.5710e+02  best epoch:988  min loss:4.2734e-02  lr:7.947331361e-02  time:16.90s  time total:11.81min  time remain:15.65min
Epoch:4400/10000  train loss:7.5907e+00  val loss:5.4840e+02  best epoch:988  min loss:4.2734e-02  lr:6.556000090e-02  time:16.36s  time total:12.08min  time remain:15.37min
Epoch:4500/10000  train loss:2.8020e+00  val loss:7.8629e+01  best epoch:988  min loss:4.2734e-02  lr:5.012846124e-02  time:16.24s  time total:12.35min  time remain:15.09min
Epoch:4600/10000  train loss:2.0652e+00  val loss:1.1458e+02  best epoch:988  min loss:4.2734e-02  lr:3.468924125e-02  time:16.39s  time total:12.62min  time remain:14.82min
Epoch:4700/10000  train loss:6.2584e-01  val loss:2.3509e+01  best epoch:988  min loss:4.2734e-02  lr:2.075363935e-02  time:15.95s  time total:12.89min  time remain:14.53min
Epoch:4800/10000  train loss:5.8052e-01  val loss:5.1130e+00  best epoch:988  min loss:4.2734e-02  lr:9.685769348e-03  time:16.94s  time total:13.17min  time remain:14.27min
Epoch:4900/10000  train loss:4.3402e-01  val loss:8.2451e-01  best epoch:988  min loss:4.2734e-02  lr:2.569031476e-03  time:16.27s  time total:13.44min  time remain:13.99min
Epoch:5000/10000  train loss:4.0965e-01  val loss:3.9208e-01  best epoch:988  min loss:4.2734e-02  lr:1.000616233e-04  time:16.35s  time total:13.72min  time remain:13.72min
