
Epoch:3600/5000  train loss:5.0834e-01  val loss:7.9476e-02  best epoch:3292  min loss:1.9977e-02  lr:1.219660934e-02  time:14.44s  time total:8.23min  time remain:3.20min
Epoch:3700/5000  train loss:7.2717e-02  val loss:8.2714e-02  best epoch:3292  min loss:1.9977e-02  lr:1.190617931e-02  time:14.39s  time total:8.47min  time remain:2.98min
Epoch:3800/5000  train loss:2.1623e-01  val loss:3.6305e-01  best epoch:3292  min loss:1.9977e-02  lr:1.162925922e-02  time:14.32s  time total:8.71min  time remain:2.75min
Epoch:3900/5000  train loss:1.2681e-01  val loss:5.1818e-01  best epoch:3292  min loss:1.9977e-02  lr:1.136492783e-02  time:13.97s  time total:8.94min  time remain:2.52min
Epoch:4000/5000  train loss:1.2926e-01  val loss:9.6240e-01  best epoch:3292  min loss:1.9977e-02  lr:1.111234582e-02  time:14.31s  time total:9.18min  time remain:2.30min
Epoch:4100/5000  train loss:6.4486e-02  val loss:3.9927e-01  best epoch:3292  min loss:1.9977e-02  lr:1.087074682e-02  time:14.50s  time total:9.42min  time remain:2.07min
Epoch:4200/5000  train loss:2.1963e-01  val loss:4.2177e-01  best epoch:4155  min loss:1.6832e-02  lr:1.063942973e-02  time:14.34s  time total:9.66min  time remain:1.84min
Epoch:4300/5000  train loss:1.1057e+00  val loss:4.1792e-01  best epoch:4250  min loss:1.4708e-02  lr:1.041775185e-02  time:14.33s  time total:9.90min  time remain:1.61min
Epoch:4400/5000  train loss:5.6676e-02  val loss:1.9607e-01  best epoch:4250  min loss:1.4708e-02  lr:1.020512297e-02  time:14.46s  time total:10.14min  time remain:1.38min
Epoch:4500/5000  train loss:5.6965e-02  val loss:5.1140e-01  best epoch:4250  min loss:1.4708e-02  lr:1.000100010e-02  time:14.42s  time total:10.38min  time remain:1.15min
Epoch:4600/5000  train loss:2.0146e-01  val loss:1.7611e-01  best epoch:4250  min loss:1.4708e-02  lr:9.804882832e-03  time:14.42s  time total:10.62min  time remain:0.92min
Epoch:4700/5000  train loss:6.1284e-01  val loss:1.3147e+00  best epoch:4250  min loss:1.4708e-02  lr:9.616309261e-03  time:14.33s  time total:10.86min  time remain:0.69min
Epoch:4800/5000  train loss:7.7239e-02  val loss:1.5294e-01  best epoch:4250  min loss:1.4708e-02  lr:9.434852345e-03  time:14.48s  time total:11.10min  time remain:0.46min
Epoch:4900/5000  train loss:1.0994e+00  val loss:2.9172e+00  best epoch:4250  min loss:1.4708e-02  lr:9.260116677e-03  time:14.34s  time total:11.34min  time remain:0.23min
Epoch:5000/5000  train loss:6.9641e-02  val loss:3.2683e-01  best epoch:4982  min loss:1.0030e-02  lr:9.091735612e-03  time:13.95s  time total:11.57min  time remain:0.00min
