
Epoch:3600/10000  train loss:9.4401e-02  val loss:7.3796e-02  best epoch:510  min loss:9.4556e-03  lr:9.547563937e-03  time:16.15s  time total:9.32min  time remain:16.57min
Epoch:3700/10000  train loss:8.8009e-01  val loss:7.1958e+00  best epoch:510  min loss:9.4556e-03  lr:3.446543533e-02  time:16.28s  time total:9.59min  time remain:16.33min
Epoch:3800/10000  train loss:4.9662e-01  val loss:2.2865e+00  best epoch:510  min loss:9.4556e-03  lr:6.533608073e-02  time:16.41s  time total:9.86min  time remain:16.09min
Epoch:3900/10000  train loss:5.0695e-01  val loss:1.2226e+01  best epoch:510  min loss:9.4556e-03  lr:9.036796284e-02  time:15.90s  time total:10.13min  time remain:15.84min
Epoch:4000/10000  train loss:2.7435e-01  val loss:5.1860e+00  best epoch:510  min loss:9.4556e-03  lr:9.999975351e-02  time:16.44s  time total:10.40min  time remain:15.60min
Epoch:4100/10000  train loss:4.1921e-01  val loss:6.5336e+00  best epoch:510  min loss:9.4556e-03  lr:9.055243606e-02  time:16.35s  time total:10.68min  time remain:15.36min
Epoch:4200/10000  train loss:3.3479e-01  val loss:1.0486e+00  best epoch:510  min loss:9.4556e-03  lr:6.563456467e-02  time:16.32s  time total:10.95min  time remain:15.12min
Epoch:4300/10000  train loss:3.1240e-01  val loss:1.3433e+00  best epoch:510  min loss:9.4556e-03  lr:3.476391927e-02  time:16.41s  time total:11.22min  time remain:14.87min
Epoch:4400/10000  train loss:1.3922e-01  val loss:1.5214e-01  best epoch:510  min loss:9.4556e-03  lr:9.732037159e-03  time:15.77s  time total:11.48min  time remain:14.62min
Epoch:4500/10000  train loss:1.4954e-01  val loss:2.0764e-02  best epoch:510  min loss:9.4556e-03  lr:1.002464932e-04  time:16.35s  time total:11.76min  time remain:14.37min
Epoch:4600/10000  train loss:3.0349e-01  val loss:7.2533e-01  best epoch:510  min loss:9.4556e-03  lr:9.547563937e-03  time:16.52s  time total:12.03min  time remain:14.12min
Epoch:4700/10000  train loss:1.5940e-01  val loss:1.2789e+00  best epoch:510  min loss:9.4556e-03  lr:3.446543533e-02  time:16.43s  time total:12.31min  time remain:13.88min
