
Epoch:3600/10000  train loss:1.3604e-02  val loss:4.4521e-02  best epoch:3087  min loss:3.6926e-05  lr:6.541075875e-02  time:16.55s  time total:9.79min  time remain:17.40min
Epoch:3700/10000  train loss:1.0373e-02  val loss:8.7217e-02  best epoch:3087  min loss:3.6926e-05  lr:7.934636065e-02  time:17.13s  time total:10.07min  time remain:17.15min
Epoch:3800/10000  train loss:5.6563e-03  val loss:8.1374e-03  best epoch:3087  min loss:3.6926e-05  lr:9.041423065e-02  time:16.14s  time total:10.34min  time remain:16.87min
Epoch:3900/10000  train loss:4.4398e-03  val loss:2.7991e-02  best epoch:3087  min loss:3.6926e-05  lr:9.753096852e-02  time:16.40s  time total:10.61min  time remain:16.60min
Epoch:4000/10000  train loss:1.5829e-03  val loss:2.0771e-02  best epoch:3087  min loss:3.6926e-05  lr:9.999993838e-02  time:16.23s  time total:10.88min  time remain:16.33min
Epoch:4100/10000  train loss:4.0900e-03  val loss:7.0799e-02  best epoch:3087  min loss:3.6926e-05  lr:9.757946024e-02  time:16.45s  time total:11.16min  time remain:16.06min
Epoch:4200/10000  train loss:9.5728e-03  val loss:7.6712e-02  best epoch:3087  min loss:3.6926e-05  lr:9.050646738e-02  time:16.86s  time total:11.44min  time remain:15.80min
Epoch:4300/10000  train loss:2.2707e-03  val loss:1.0517e-02  best epoch:3087  min loss:3.6926e-05  lr:7.947331361e-02  time:16.32s  time total:11.71min  time remain:15.52min
Epoch:4400/10000  train loss:8.5923e-03  val loss:3.2831e-01  best epoch:3087  min loss:3.6926e-05  lr:6.556000090e-02  time:15.76s  time total:11.97min  time remain:15.24min
Epoch:4500/10000  train loss:5.7164e-03  val loss:1.1922e-02  best epoch:3087  min loss:3.6926e-05  lr:5.012846124e-02  time:16.21s  time total:12.24min  time remain:14.96min
Epoch:4600/10000  train loss:6.4288e-04  val loss:3.7936e-03  best epoch:3087  min loss:3.6926e-05  lr:3.468924125e-02  time:16.29s  time total:12.52min  time remain:14.69min
Epoch:4700/10000  train loss:1.5946e-03  val loss:1.4732e-03  best epoch:3087  min loss:3.6926e-05  lr:2.075363935e-02  time:16.99s  time total:12.80min  time remain:14.43min
Epoch:4800/10000  train loss:8.5082e-04  val loss:4.1321e-03  best epoch:3087  min loss:3.6926e-05  lr:9.685769348e-03  time:16.37s  time total:13.07min  time remain:14.16min
Epoch:4900/10000  train loss:3.4820e-04  val loss:3.9589e-03  best epoch:3087  min loss:3.6926e-05  lr:2.569031476e-03  time:16.35s  time total:13.34min  time remain:13.89min
Epoch:5000/10000  train loss:2.0359e-04  val loss:1.0235e-03  best epoch:3087  min loss:3.6926e-05  lr:1.000616233e-04  time:15.52s  time total:13.60min  time remain:13.60min
Epoch:5100/10000  train loss:4.4977e-04  val loss:6.1573e-03  best epoch:3087  min loss:3.6926e-05  lr:2.520539760e-03  time:16.23s  time total:13.87min  time remain:13.33min
Epoch:5200/10000  train loss:1.1858e-03  val loss:1.7885e-02  best epoch:3087  min loss:3.6926e-05  lr:9.593532623e-03  time:16.68s  time total:14.15min  time remain:13.06min
Epoch:5300/10000  train loss:3.7535e-03  val loss:6.0348e-03  best epoch:3087  min loss:3.6926e-05  lr:2.062668639e-02  time:16.43s  time total:14.42min  time remain:12.79min
Epoch:5400/10000  train loss:4.6973e-03  val loss:3.4263e-02  best epoch:3087  min loss:3.6926e-05  lr:3.453999910e-02  time:16.33s  time total:14.70min  time remain:12.52min
Epoch:5500/10000  train loss:3.1313e-03  val loss:1.9835e-02  best epoch:3087  min loss:3.6926e-05  lr:4.997153876e-02  time:16.30s  time total:14.97min  time remain:12.25min
Epoch:5600/10000  train loss:4.2936e-03  val loss:1.5992e-02  best epoch:3087  min loss:3.6926e-05  lr:6.541075875e-02  time:15.58s  time total:15.23min  time remain:11.96min
Epoch:5700/10000  train loss:1.6147e-03  val loss:6.7696e-03  best epoch:3087  min loss:3.6926e-05  lr:7.934636065e-02  time:16.52s  time total:15.50min  time remain:11.70min
Epoch:5800/10000  train loss:1.9825e-03  val loss:7.0985e-03  best epoch:3087  min loss:3.6926e-05  lr:9.041423065e-02  time:16.91s  time total:15.79min  time remain:11.43min
Epoch:5900/10000  train loss:2.2328e-03  val loss:3.3360e-02  best epoch:3087  min loss:3.6926e-05  lr:9.753096852e-02  time:16.13s  time total:16.05min  time remain:11.16min
Epoch:6000/10000  train loss:1.5583e-02  val loss:2.4473e-02  best epoch:3087  min loss:3.6926e-05  lr:9.999993838e-02  time:16.59s  time total:16.33min  time remain:10.89min
Epoch:6100/10000  train loss:2.9669e-03  val loss:5.9851e-03  best epoch:3087  min loss:3.6926e-05  lr:9.757946024e-02  time:16.42s  time total:16.60min  time remain:10.62min
Epoch:6200/10000  train loss:1.7859e-02  val loss:1.0012e-01  best epoch:3087  min loss:3.6926e-05  lr:9.050646738e-02  time:15.71s  time total:16.87min  time remain:10.34min
Epoch:6300/10000  train loss:9.1351e-03  val loss:9.0148e-03  best epoch:3087  min loss:3.6926e-05  lr:7.947331361e-02  time:16.88s  time total:17.15min  time remain:10.07min
Epoch:6400/10000  train loss:4.9095e-03  val loss:2.6491e-02  best epoch:3087  min loss:3.6926e-05  lr:6.556000090e-02  time:16.38s  time total:17.42min  time remain:9.80min
Epoch:6500/10000  train loss:8.7199e-04  val loss:3.8672e-03  best epoch:3087  min loss:3.6926e-05  lr:5.012846124e-02  time:16.30s  time total:17.69min  time remain:9.53min
Epoch:6600/10000  train loss:4.1112e-03  val loss:2.7007e-03  best epoch:3087  min loss:3.6926e-05  lr:3.468924125e-02  time:16.49s  time total:17.97min  time remain:9.26min
Epoch:6700/10000  train loss:3.2274e-04  val loss:2.6194e-03  best epoch:3087  min loss:3.6926e-05  lr:2.075363935e-02  time:16.33s  time total:18.24min  time remain:8.98min
Epoch:6800/10000  train loss:8.4012e-04  val loss:1.6559e-03  best epoch:3087  min loss:3.6926e-05  lr:9.685769348e-03  time:16.23s  time total:18.51min  time remain:8.71min
Epoch:6900/10000  train loss:1.1368e-03  val loss:1.0230e-02  best epoch:3087  min loss:3.6926e-05  lr:2.569031476e-03  time:16.19s  time total:18.78min  time remain:8.44min
Epoch:7000/10000  train loss:1.7060e-04  val loss:4.7958e-03  best epoch:3087  min loss:3.6926e-05  lr:1.000616233e-04  time:16.44s  time total:19.05min  time remain:8.17min
Epoch:7100/10000  train loss:1.1170e-03  val loss:1.0007e-02  best epoch:3087  min loss:3.6926e-05  lr:2.520539760e-03  time:16.32s  time total:19.33min  time remain:7.89min
Epoch:7200/10000  train loss:6.4265e-04  val loss:2.0889e-03  best epoch:3087  min loss:3.6926e-05  lr:9.593532623e-03  time:16.25s  time total:19.60min  time remain:7.62min
Epoch:7300/10000  train loss:1.1929e-03  val loss:2.5431e-03  best epoch:3087  min loss:3.6926e-05  lr:2.062668639e-02  time:16.32s  time total:19.87min  time remain:7.35min
Epoch:7400/10000  train loss:2.5294e-03  val loss:1.4029e-02  best epoch:3087  min loss:3.6926e-05  lr:3.453999910e-02  time:17.09s  time total:20.15min  time remain:7.08min
Epoch:7500/10000  train loss:5.6221e-04  val loss:6.8850e-03  best epoch:3087  min loss:3.6926e-05  lr:4.997153876e-02  time:15.55s  time total:20.41min  time remain:6.80min
Epoch:7600/10000  train loss:2.8700e-03  val loss:4.1817e-02  best epoch:3087  min loss:3.6926e-05  lr:6.541075875e-02  time:16.43s  time total:20.69min  time remain:6.53min
Epoch:7700/10000  train loss:2.8948e-03  val loss:1.5214e-02  best epoch:3087  min loss:3.6926e-05  lr:7.934636065e-02  time:16.43s  time total:20.96min  time remain:6.26min
Epoch:7800/10000  train loss:5.2360e-03  val loss:2.0650e-02  best epoch:3087  min loss:3.6926e-05  lr:9.041423065e-02  time:16.25s  time total:21.23min  time remain:5.99min
Epoch:7900/10000  train loss:7.1714e-03  val loss:1.1105e-02  best epoch:3087  min loss:3.6926e-05  lr:9.753096852e-02  time:16.97s  time total:21.51min  time remain:5.72min
Epoch:8000/10000  train loss:4.1756e-03  val loss:1.0185e-01  best epoch:3087  min loss:3.6926e-05  lr:9.999993838e-02  time:16.33s  time total:21.79min  time remain:5.45min
Epoch:8100/10000  train loss:2.4681e-03  val loss:8.5221e-03  best epoch:3087  min loss:3.6926e-05  lr:9.757946024e-02  time:15.66s  time total:22.05min  time remain:5.17min
Epoch:8200/10000  train loss:1.1202e-02  val loss:7.4554e-02  best epoch:3087  min loss:3.6926e-05  lr:9.050646738e-02  time:16.30s  time total:22.32min  time remain:4.90min
Epoch:8300/10000  train loss:2.1257e-03  val loss:1.1553e-02  best epoch:3087  min loss:3.6926e-05  lr:7.947331361e-02  time:16.49s  time total:22.59min  time remain:4.63min
Epoch:8400/10000  train loss:2.6508e-03  val loss:5.8836e-03  best epoch:3087  min loss:3.6926e-05  lr:6.556000090e-02  time:16.80s  time total:22.87min  time remain:4.36min
Epoch:8500/10000  train loss:8.7207e-03  val loss:8.9954e-03  best epoch:3087  min loss:3.6926e-05  lr:5.012846124e-02  time:16.52s  time total:23.15min  time remain:4.09min
Epoch:8600/10000  train loss:8.0976e-04  val loss:1.6204e-02  best epoch:3087  min loss:3.6926e-05  lr:3.468924125e-02  time:16.40s  time total:23.42min  time remain:3.81min
Epoch:8700/10000  train loss:1.3592e-03  val loss:4.9210e-04  best epoch:3087  min loss:3.6926e-05  lr:2.075363935e-02  time:15.78s  time total:23.69min  time remain:3.54min
Epoch:8800/10000  train loss:2.4268e-03  val loss:6.8045e-03  best epoch:3087  min loss:3.6926e-05  lr:9.685769348e-03  time:16.25s  time total:23.96min  time remain:3.27min
Epoch:8900/10000  train loss:3.0201e-04  val loss:2.6332e-03  best epoch:3087  min loss:3.6926e-05  lr:2.569031476e-03  time:16.32s  time total:24.23min  time remain:2.99min
Epoch:9000/10000  train loss:4.7524e-04  val loss:6.1014e-03  best epoch:3087  min loss:3.6926e-05  lr:1.000616233e-04  time:16.85s  time total:24.51min  time remain:2.72min
Epoch:9100/10000  train loss:1.1199e-03  val loss:5.0535e-03  best epoch:3087  min loss:3.6926e-05  lr:2.520539760e-03  time:16.35s  time total:24.78min  time remain:2.45min
Epoch:9200/10000  train loss:3.7397e-04  val loss:2.3303e-03  best epoch:3087  min loss:3.6926e-05  lr:9.593532623e-03  time:16.29s  time total:25.05min  time remain:2.18min
Epoch:9300/10000  train loss:1.5607e-03  val loss:8.7750e-02  best epoch:3087  min loss:3.6926e-05  lr:2.062668639e-02  time:15.67s  time total:25.31min  time remain:1.91min
Epoch:9400/10000  train loss:1.9973e-03  val loss:5.6343e-03  best epoch:3087  min loss:3.6926e-05  lr:3.453999910e-02  time:16.28s  time total:25.59min  time remain:1.63min
Epoch:9500/10000  train loss:4.3040e-03  val loss:5.7103e-03  best epoch:3087  min loss:3.6926e-05  lr:4.997153876e-02  time:16.91s  time total:25.87min  time remain:1.36min
Epoch:9600/10000  train loss:4.6889e-03  val loss:5.7101e-03  best epoch:3087  min loss:3.6926e-05  lr:6.541075875e-02  time:16.50s  time total:26.14min  time remain:1.09min
Epoch:9700/10000  train loss:3.6819e-03  val loss:9.7227e-03  best epoch:3087  min loss:3.6926e-05  lr:7.934636065e-02  time:16.41s  time total:26.42min  time remain:0.82min
Epoch:9800/10000  train loss:4.6265e-03  val loss:1.3825e-02  best epoch:3087  min loss:3.6926e-05  lr:9.041423065e-02  time:16.69s  time total:26.69min  time remain:0.54min
Epoch:9900/10000  train loss:5.7325e-03  val loss:1.0443e-01  best epoch:3087  min loss:3.6926e-05  lr:9.753096852e-02  time:16.54s  time total:26.97min  time remain:0.27min
Epoch:10000/10000  train loss:2.4210e-03  val loss:1.7565e-02  best epoch:3087  min loss:3.6926e-05  lr:9.999993838e-02  time:16.95s  time total:27.25min  time remain:0.00min
