
Epoch:3600/10000  train loss:1.4747e-01  val loss:7.9383e-02  best epoch:2442  min loss:2.0423e-02  lr:9.547563937e-03  time:15.78s  time total:9.66min  time remain:17.18min
Epoch:3700/10000  train loss:5.2573e-01  val loss:1.1781e+00  best epoch:2442  min loss:2.0423e-02  lr:3.446543533e-02  time:16.52s  time total:9.94min  time remain:16.92min
Epoch:3800/10000  train loss:4.9449e-01  val loss:1.5445e+00  best epoch:2442  min loss:2.0423e-02  lr:6.533608073e-02  time:16.51s  time total:10.21min  time remain:16.66min
Epoch:3900/10000  train loss:6.1946e-01  val loss:2.7242e+00  best epoch:2442  min loss:2.0423e-02  lr:9.036796284e-02  time:16.42s  time total:10.49min  time remain:16.40min
Epoch:4000/10000  train loss:3.3173e-01  val loss:8.1957e-01  best epoch:2442  min loss:2.0423e-02  lr:9.999975351e-02  time:15.31s  time total:10.74min  time remain:16.11min
Epoch:4100/10000  train loss:5.3172e-01  val loss:2.6464e+00  best epoch:2442  min loss:2.0423e-02  lr:9.055243606e-02  time:9.03s  time total:10.89min  time remain:15.67min
Epoch:4200/10000  train loss:4.3895e-01  val loss:7.1916e-01  best epoch:2442  min loss:2.0423e-02  lr:6.563456467e-02  time:8.86s  time total:11.04min  time remain:15.24min
Epoch:4300/10000  train loss:1.6416e-01  val loss:2.4324e-01  best epoch:2442  min loss:2.0423e-02  lr:3.476391927e-02  time:9.38s  time total:11.20min  time remain:14.84min
Epoch:4400/10000  train loss:3.0818e-01  val loss:1.0279e-01  best epoch:2442  min loss:2.0423e-02  lr:9.732037159e-03  time:9.95s  time total:11.36min  time remain:14.46min
Epoch:4500/10000  train loss:9.2671e-02  val loss:5.5833e-02  best epoch:2442  min loss:2.0423e-02  lr:1.002464932e-04  time:14.63s  time total:11.61min  time remain:14.18min
Epoch:4600/10000  train loss:1.2216e-01  val loss:1.1568e-01  best epoch:4523  min loss:2.0070e-02  lr:9.547563937e-03  time:15.99s  time total:11.87min  time remain:13.94min
Epoch:4700/10000  train loss:4.9408e-01  val loss:6.8418e-01  best epoch:4523  min loss:2.0070e-02  lr:3.446543533e-02  time:16.51s  time total:12.15min  time remain:13.70min
Epoch:4800/10000  train loss:3.5216e-01  val loss:5.6045e-01  best epoch:4523  min loss:2.0070e-02  lr:6.533608073e-02  time:16.56s  time total:12.42min  time remain:13.46min
Epoch:4900/10000  train loss:6.7917e-01  val loss:2.9488e+00  best epoch:4523  min loss:2.0070e-02  lr:9.036796284e-02  time:16.42s  time total:12.70min  time remain:13.21min
Epoch:5000/10000  train loss:6.1709e-01  val loss:2.1454e+00  best epoch:4523  min loss:2.0070e-02  lr:9.999975351e-02  time:16.43s  time total:12.97min  time remain:12.97min
Epoch:5100/10000  train loss:2.8295e-01  val loss:1.0730e+00  best epoch:4523  min loss:2.0070e-02  lr:9.055243606e-02  time:16.90s  time total:13.25min  time remain:12.73min
Epoch:5200/10000  train loss:2.2912e-01  val loss:7.4470e-01  best epoch:4523  min loss:2.0070e-02  lr:6.563456467e-02  time:16.35s  time total:13.52min  time remain:12.48min
Epoch:5300/10000  train loss:2.2730e-01  val loss:5.0037e-01  best epoch:4523  min loss:2.0070e-02  lr:3.476391927e-02  time:16.46s  time total:13.80min  time remain:12.24min
Epoch:5400/10000  train loss:9.8719e-02  val loss:4.4824e-02  best epoch:4523  min loss:2.0070e-02  lr:9.732037159e-03  time:16.52s  time total:14.07min  time remain:11.99min
Epoch:5500/10000  train loss:1.0062e-01  val loss:2.2466e-02  best epoch:5463  min loss:2.0009e-02  lr:1.002464932e-04  time:16.48s  time total:14.35min  time remain:11.74min
Epoch:5600/10000  train loss:1.1961e-01  val loss:4.5594e-02  best epoch:5526  min loss:1.9622e-02  lr:9.547563937e-03  time:16.58s  time total:14.63min  time remain:11.49min
Epoch:5700/10000  train loss:4.8448e-01  val loss:1.2978e+00  best epoch:5526  min loss:1.9622e-02  lr:3.446543533e-02  time:15.82s  time total:14.89min  time remain:11.23min
Epoch:5800/10000  train loss:5.3323e-01  val loss:2.9287e+00  best epoch:5526  min loss:1.9622e-02  lr:6.533608073e-02  time:16.45s  time total:15.16min  time remain:10.98min
Epoch:5900/10000  train loss:2.4105e-01  val loss:8.9434e-01  best epoch:5526  min loss:1.9622e-02  lr:9.036796284e-02  time:16.46s  time total:15.44min  time remain:10.73min
Epoch:6000/10000  train loss:3.9331e-01  val loss:5.2314e+00  best epoch:5526  min loss:1.9622e-02  lr:9.999975351e-02  time:16.52s  time total:15.71min  time remain:10.48min
Epoch:6100/10000  train loss:3.9978e-01  val loss:1.3027e+00  best epoch:5526  min loss:1.9622e-02  lr:9.055243606e-02  time:16.71s  time total:15.99min  time remain:10.22min
Epoch:6200/10000  train loss:3.5894e-01  val loss:6.6643e-01  best epoch:5526  min loss:1.9622e-02  lr:6.563456467e-02  time:16.72s  time total:16.27min  time remain:9.97min
Epoch:6300/10000  train loss:3.4988e-01  val loss:2.5978e-01  best epoch:5526  min loss:1.9622e-02  lr:3.476391927e-02  time:16.07s  time total:16.54min  time remain:9.71min
Epoch:6400/10000  train loss:1.1506e-01  val loss:3.5761e-02  best epoch:5526  min loss:1.9622e-02  lr:9.732037159e-03  time:16.38s  time total:16.81min  time remain:9.46min
Epoch:6500/10000  train loss:1.1983e-01  val loss:2.4295e-02  best epoch:5526  min loss:1.9622e-02  lr:1.002464932e-04  time:16.41s  time total:17.08min  time remain:9.20min
Epoch:6600/10000  train loss:9.5603e-02  val loss:3.4547e-02  best epoch:6539  min loss:1.9548e-02  lr:9.547563937e-03  time:16.41s  time total:17.36min  time remain:8.94min
Epoch:6700/10000  train loss:1.3549e-01  val loss:1.9678e-01  best epoch:6539  min loss:1.9548e-02  lr:3.446543533e-02  time:16.36s  time total:17.63min  time remain:8.68min
Epoch:6800/10000  train loss:3.6485e-01  val loss:9.8067e-01  best epoch:6539  min loss:1.9548e-02  lr:6.533608073e-02  time:16.09s  time total:17.90min  time remain:8.42min
Epoch:6900/10000  train loss:6.5205e-01  val loss:1.8730e+00  best epoch:6539  min loss:1.9548e-02  lr:9.036796284e-02  time:16.62s  time total:18.18min  time remain:8.17min
Epoch:7000/10000  train loss:8.5101e-01  val loss:5.1481e+00  best epoch:6539  min loss:1.9548e-02  lr:9.999975351e-02  time:16.44s  time total:18.45min  time remain:7.91min
Epoch:7100/10000  train loss:7.2821e-01  val loss:1.9848e+00  best epoch:6539  min loss:1.9548e-02  lr:9.055243606e-02  time:16.68s  time total:18.73min  time remain:7.65min
Epoch:7200/10000  train loss:4.2535e-01  val loss:8.8734e-01  best epoch:6539  min loss:1.9548e-02  lr:6.563456467e-02  time:16.79s  time total:19.01min  time remain:7.39min
Epoch:7300/10000  train loss:2.6169e-01  val loss:1.9934e-01  best epoch:6539  min loss:1.9548e-02  lr:3.476391927e-02  time:16.42s  time total:19.28min  time remain:7.13min
Epoch:7400/10000  train loss:3.8044e-01  val loss:3.7213e-02  best epoch:6539  min loss:1.9548e-02  lr:9.732037159e-03  time:15.67s  time total:19.54min  time remain:6.87min
Epoch:7500/10000  train loss:8.3398e-02  val loss:2.6358e-02  best epoch:7497  min loss:1.9275e-02  lr:1.002464932e-04  time:16.62s  time total:19.82min  time remain:6.61min
Epoch:7600/10000  train loss:2.2619e-01  val loss:6.9536e-02  best epoch:7501  min loss:1.7002e-02  lr:9.547563937e-03  time:16.48s  time total:20.09min  time remain:6.35min
Epoch:7700/10000  train loss:2.5625e-01  val loss:5.7719e-01  best epoch:7501  min loss:1.7002e-02  lr:3.446543533e-02  time:16.60s  time total:20.37min  time remain:6.08min
Epoch:7800/10000  train loss:4.0020e-01  val loss:1.1504e+00  best epoch:7501  min loss:1.7002e-02  lr:6.533608073e-02  time:16.42s  time total:20.64min  time remain:5.82min
Epoch:7900/10000  train loss:5.9855e-01  val loss:2.2488e+00  best epoch:7501  min loss:1.7002e-02  lr:9.036796284e-02  time:16.12s  time total:20.91min  time remain:5.56min
Epoch:8000/10000  train loss:5.0363e-01  val loss:1.7395e+00  best epoch:7501  min loss:1.7002e-02  lr:9.999975350e-02  time:16.64s  time total:21.19min  time remain:5.30min
Epoch:8100/10000  train loss:4.6178e-01  val loss:1.0111e+00  best epoch:7501  min loss:1.7002e-02  lr:9.055243606e-02  time:16.63s  time total:21.47min  time remain:5.04min
Epoch:8200/10000  train loss:5.0094e-01  val loss:8.2268e-01  best epoch:7501  min loss:1.7002e-02  lr:6.563456467e-02  time:16.96s  time total:21.75min  time remain:4.77min
Epoch:8300/10000  train loss:2.3541e-01  val loss:8.8277e-01  best epoch:7501  min loss:1.7002e-02  lr:3.476391927e-02  time:16.45s  time total:22.02min  time remain:4.51min
Epoch:8400/10000  train loss:1.1620e-01  val loss:3.9153e-02  best epoch:7501  min loss:1.7002e-02  lr:9.732037159e-03  time:16.54s  time total:22.30min  time remain:4.25min
Epoch:8500/10000  train loss:2.3552e-01  val loss:3.3509e-02  best epoch:7501  min loss:1.7002e-02  lr:1.002464932e-04  time:16.04s  time total:22.57min  time remain:3.98min
Epoch:8600/10000  train loss:2.4357e-01  val loss:8.6744e-02  best epoch:7501  min loss:1.7002e-02  lr:9.547563937e-03  time:16.45s  time total:22.84min  time remain:3.72min
Epoch:8700/10000  train loss:2.5762e-01  val loss:3.9232e-01  best epoch:7501  min loss:1.7002e-02  lr:3.446543533e-02  time:16.48s  time total:23.12min  time remain:3.45min
Epoch:8800/10000  train loss:6.8243e-01  val loss:3.8005e+00  best epoch:7501  min loss:1.7002e-02  lr:6.533608073e-02  time:9.19s  time total:23.27min  time remain:3.17min
Epoch:8900/10000  train loss:5.1222e-01  val loss:2.0608e+00  best epoch:7501  min loss:1.7002e-02  lr:9.036796284e-02  time:7.98s  time total:23.40min  time remain:2.89min
Epoch:9000/10000  train loss:3.4073e-01  val loss:4.4195e+00  best epoch:7501  min loss:1.7002e-02  lr:9.999975350e-02  time:8.03s  time total:23.54min  time remain:2.62min
Epoch:9100/10000  train loss:5.6258e-01  val loss:1.8854e+00  best epoch:7501  min loss:1.7002e-02  lr:9.055243606e-02  time:7.90s  time total:23.67min  time remain:2.34min
Epoch:9200/10000  train loss:2.6327e-01  val loss:4.3257e-01  best epoch:7501  min loss:1.7002e-02  lr:6.563456467e-02  time:7.82s  time total:23.80min  time remain:2.07min
Epoch:9300/10000  train loss:1.5667e-01  val loss:1.1418e-01  best epoch:7501  min loss:1.7002e-02  lr:3.476391927e-02  time:7.84s  time total:23.93min  time remain:1.80min
Epoch:9400/10000  train loss:8.6774e-02  val loss:5.9169e-02  best epoch:7501  min loss:1.7002e-02  lr:9.732037159e-03  time:7.70s  time total:24.06min  time remain:1.54min
Epoch:9500/10000  train loss:1.1676e-01  val loss:3.5925e-02  best epoch:7501  min loss:1.7002e-02  lr:1.002464932e-04  time:7.91s  time total:24.19min  time remain:1.27min
Epoch:9600/10000  train loss:4.1250e-01  val loss:6.1290e-02  best epoch:7501  min loss:1.7002e-02  lr:9.547563937e-03  time:7.83s  time total:24.32min  time remain:1.01min
Epoch:9700/10000  train loss:4.1317e-01  val loss:3.0464e-01  best epoch:7501  min loss:1.7002e-02  lr:3.446543533e-02  time:7.83s  time total:24.45min  time remain:0.76min
Epoch:9800/10000  train loss:2.8461e-01  val loss:4.2462e-01  best epoch:7501  min loss:1.7002e-02  lr:6.533608073e-02  time:7.75s  time total:24.58min  time remain:0.50min
Epoch:9900/10000  train loss:6.9684e-01  val loss:1.5560e+00  best epoch:7501  min loss:1.7002e-02  lr:9.036796284e-02  time:7.65s  time total:24.71min  time remain:0.25min
Epoch:10000/10000  train loss:1.1130e+00  val loss:5.0515e+00  best epoch:7501  min loss:1.7002e-02  lr:9.999975351e-02  time:7.83s  time total:24.84min  time remain:0.00min
